Designator,Footprint,Quantity,Value,LCSC Part #
SW60,MXOnly-1.25U-Hotswap,1,KEYSW,
SW61,MXOnly-1.25U-Hotswap,1,KEYSW,
ST72,MX-7U-Stabilizer,1,7U,
SW68,MXOnly-1U-Hotswap,1,KEYSW,
D1,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D2,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D3,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D4,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D5,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D6,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D7,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D8,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D9,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D10,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D11,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D12,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D13,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D14,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D15,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D16,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D17,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D18,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D19,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D20,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D21,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D22,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D23,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D24,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D25,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D26,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D27,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D28,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D29,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D30,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D31,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D32,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D33,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D34,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D35,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D36,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D37,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D38,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D39,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D40,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D41,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D42,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D43,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D44,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D45,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D46,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D47,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D48,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D49,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D50,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D51,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D52,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D53,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D54,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
D55,D_DO-35_SOD27_P5.08mm_Horizontal,1, ,
