Designator,Mid X,Mid Y,Rotation,Layer
SW55,277.65171,-151.92121,0.0,top
SW57,330.03871,-151.92121,0.0,top
SW58,349.08871,-151.92121,0.0,top
SW62,184.78271,-170.97121,0.0,top
SW65,310.98871,-170.97121,0.0,top
SW66,330.03871,-170.97121,0.0,top
SW67,349.08871,-170.97121,0.0,top
SW14,320.51371,-94.77121,0.0,top
SW29,325.27571,-113.82121,0.0,top
SW31,70.48251,-132.86108,0.0,top
SW43,318.13271,-132.87121,0.0,top
SW45,75.24491,-151.92121,0.0,top
SW56,303.84471,-151.92121,0.0,top
SW59,65.71991,-170.96108,0.0,top
SW60,89.53251,-170.97121,0.0,top
SW61,113.34491,-170.96108,0.0,top
ST72,177.667573,-170.98164,0.0,top
SW68,291.978988,-170.96108,180.0,top
D1,63.600284,-66.205612,-90.0,top
D2,85.786525,-71.166199,-90.0,top
D3,88.955988,-66.205612,-90.0,top
D4,101.63384,-66.205612,-90.0,top
D5,114.311692,-66.205612,-90.0,top
D6,126.989544,-66.205612,-90.0,top
D7,139.667396,-66.205612,-90.0,top
D8,152.345248,-66.205612,-90.0,top
D9,165.0231,-66.205612,-90.0,top
D10,177.700952,-66.205612,-90.0,top
D11,190.378804,-66.205612,-90.0,top
D12,203.056656,-66.205612,-90.0,top
D13,215.734508,-66.205612,-90.0,top
D14,228.342376,-66.205612,-90.0,top
D15,275.541929,-71.166199,-90.0,top
D16,66.769747,-67.859141,-90.0,top
D17,82.617062,-69.51267,-90.0,top
D18,92.125451,-67.859141,-90.0,top
D19,104.803303,-67.859141,-90.0,top
D20,117.481155,-67.859141,-90.0,top
D21,130.159007,-67.859141,-90.0,top
D22,142.836859,-67.859141,-90.0,top
D23,155.514711,-67.859141,-90.0,top
D24,168.192563,-67.859141,-90.0,top
D25,180.870415,-67.859141,-90.0,top
D26,193.548267,-67.859141,-90.0,top
D27,206.226119,-67.859141,-90.0,top
D28,218.886475,-67.859141,-90.0,top
D29,231.493149,-67.859141,-90.0,top
D30,272.453205,-69.51267,-90.0,top
D31,69.93921,-69.51267,-90.0,top
D32,79.447599,-67.859141,-90.0,top
D33,95.294914,-69.51267,-90.0,top
D34,107.972766,-69.51267,-90.0,top
D35,120.650618,-69.51267,-90.0,top
D36,133.32847,-69.51267,-90.0,top
D37,146.006322,-69.51267,-90.0,top
D38,158.684174,-69.51267,-90.0,top
D39,171.362026,-69.51267,-90.0,top
D40,184.039878,-69.51267,-90.0,top
D41,196.71773,-69.51267,-90.0,top
D42,209.395582,-69.51267,-90.0,top
D43,234.643922,-69.51267,-90.0,top
D44,269.364481,-67.859141,-90.0,top
D45,73.108673,-71.166199,-90.0,top
D46,98.464377,-71.166199,-90.0,top
D47,111.142229,-71.166199,-90.0,top
D48,123.820081,-71.166199,-90.0,top
D49,136.497933,-71.166199,-90.0,top
D50,149.175785,-71.166199,-90.0,top
D51,161.853637,-71.166199,-90.0,top
D52,174.531489,-71.166199,-90.0,top
D53,187.209341,-71.166199,-90.0,top
D54,199.887193,-71.166199,-90.0,top
D55,212.565045,-71.166199,-90.0,top
D56,222.038442,-69.51267,-90.0,top
D57,237.794695,-71.166199,-90.0,top
D58,266.089606,-66.205612,-90.0,top
D59,259.788058,-69.51267,-90.0,top
D60,76.278136,-66.205612,-90.0,top
D61,256.637284,-67.859141,-90.0,top
D62,253.486511,-66.205612,-90.0,top
D63,250.335738,-71.166199,-90.0,top
D64,225.190409,-71.166199,-90.0,top
D65,244.096241,-67.859141,-90.0,top
D66,240.945468,-66.205612,-90.0,top
D67,262.938832,-71.166199,-90.0,top
D68,247.184965,-69.51267,-90.0,top
R3,296.87,-73.16,180.0,top
R4,296.87,-75.645517,180.0,top
R1,289.25,-70.57,0.0,top
RESET1,226.485732,-59.836074,0.0,top
LED1,284.127716,-61.97083,0.0,top
R6,289.24,-65.53,0.0,top
BOOT1,238.485732,-59.836074,0.0,top
F1,270.047614,-61.900838,90.0,top
C3,284.477676,-70.404866,90.0,top
C4,325.12553,-58.926178,0.0,top
C5,320.471062,-78.716416,0.0,top
SW63,253.868344,-170.96108,180.0,top
SW64,272.923666,-170.97121,0.0,top
USB1,277.548468,-60.291022,180.0,top
C1,341.906112,-82.00604,90.0,top
C2,327.680238,-82.00604,90.0,top
D69,286.174982,-71.892196,-90.0,top
D70,283.30531,-71.892196,-90.0,top
R5,296.86,-78.14,180.0,top
Y1,337.251644,-80.25624,180.0,top
R7,296.86,-62.99,180.0,top
R2,289.24,-68.06,0.0,top
J1,252.75383,-61.62087,180.0,top
SW69,65.71996,-132.86108,180.0,top
SW70,68.10116,-170.96108,180.0,top
SW71,96.700491,-170.967279,180.0,top
SW72,177.665033,-170.9791,180.0,top
SW73,258.641396,-170.97121,0.0,top
SW74,287.197588,-170.97121,0.0,top
SW16,68.10121,-113.82121,0.0,top
U1,299.75343,-76.389182,90.0,top
J2_10,61.98,-99.43,0.0,top
SW79,346.57528,-102.30312,90.0,top
J2_9,339.33384,-94.8436,-90.0,top
J2_8,339.33384,-130.00228,-90.0,top
J2_7,344.64498,-161.42716,180.0,top
J2_6,98.29546,-161.42716,180.0,top
J2_5,75.93076,-142.41272,180.0,top
J2_4,94.10192,-142.40002,180.0,top
J2_3,70.53072,-123.4186,180.0,top
J2_2,88.60028,-123.41352,180.0,top
J2,294.45,-99.54768,0.0,top
